id,name,postcode,area,address,longitude,latitude,tel,site,summary,icon,article
1,門司港レトロ展望室,801-0853,門司区,東港町2-21,33.948764,130.964178,093-321-4151,http://kanmon-mojiko.com/sisetsu/,日本を代表する建築家「黒川紀章」氏が設計した高層マンション「レトロハイマート」の31階に「門司港レトロ展望室」があります。ガラス張りの開放的な空間で、眼下に美しい関門海峡が広がっています。 フロアには、カフェテリア「AIR'S CAFÉ」もあります。,,entry1.html
2,関門海峡ミュージアム,801-0841,門司区,西海岸１丁目3-3,33.944015,130.956957,093-331-6770,http://kanmon-mojiko.com/sisetsu/,関門海峡の過去・現在を五感で感じられるミュージアムです。海峡にまつまる歴史を再現した「海峡アトリウム」「海峡歴史回廊」をはじめ、大正時代の街並みを再現した「海峡レトロ通り」など見どころいっぱいです。 ,,
3,マリンゲート門司,801-0841,門司区,西海岸１丁目４−１,33.945954,130.960597,,http://www.kanmon.gr.jp/areamap/seen/mojikou/m_10.php,門司港レトロ地区と下関の唐戸地区とをわずか5分で結ぶ関門連絡船と、巌流島への直行便がここから発着しています。唐戸⇔門司港の便は朝6時から夜10時まで運航していますので、下関と門司港の両方を観光するにはとても便利な交通の手段です。 ,,entry3.html
4,和布刈公園,801-0855,門司区,門司,33.960698,130.96371,093-582-2054,,,,
5,萩ヶ丘公園,800-0024,門司区,大里戸ノ上3丁目9-6,33.904754,130.9432,,,,,
6,和布刈神社,801-0855,門司区,門司3492,33.9611,130.9622,,,,,
7,戸ノ上神社,800-0024,門司区,大里戸ノ上4丁目4-2,33.902329,130.943687,093-371-0375,,,,
8,淡島神社,800-0011,門司区,奥田4丁目9番5号,33.91546,130.9625,093-371-8428,,,,
9,到津の森公園,803-0845,小倉北区,上到津4-1-8,33.87385,130.846691,093-651-1895,http://www.itozu-zoo.jp/,北九州市小倉北区にある自然や動物とのふれあいを通して学習する自然環境教育施設、到津の森公園,到津の森公園.png,
10,北九州交通公園,803-0835,小倉北区,井堀5丁目１−１,33.878959,130.844009,,,,,
11,平尾台,803-0186,小倉南区,新道寺,33.763747,130.90441,093-452-2715,,,平尾台.png,
12,八坂神社,803-0813,小倉北区,城内2-2,33.8858,130.8732,093-561-0753,,,,
13,妙見宮,802-0041,小倉北区,妙見町17-2,33.8629,130.902946,093-921-2292,,,,
14,篠崎八幡神社,803-0861,小倉北区,篠崎1丁目7-1,33.865077,130.869305,093-561-6518,,,,
15,菅生の滝,803-0266,小倉南区,道原559,33.790891,130.816745,,,,菅生の滝.png,
16,合馬竹林公園,,小倉南区,大字合馬,33.813007,130.839622,,http://www.city.kitakyushu.lg.jp/kensetu/file_0307.html,合馬竹林公園（展示館）は、初夏にはホタルが飛び交う合馬川のほとり良品なタケノコの産地で有名な小倉南区合馬にあります。竹は古くから日本人の生活と密接な関係のある植物で、観賞用はもとより、食用、建築用、工芸用、楽器用、がん具用まで幅広く利用されてきました。また1日に1メートル以上伸びる旺盛な生命力から、文学上でも「竹取物語」はもちろん、「古事記」「日本書紀」のなかにも竹にまつわる伝説がいくつもあります。展示館で、竹の世界を学び、約150種類の竹・笹類がある見本園を散策するなど、それぞれの楽しみ方をみつけてください。,合馬のタケノコ.png,
17,夜宮公園,804-0042,戸畑区,夜宮1丁目,33.887116,130.83574,,,,夜宮公園.png,
18,グリーンパークひびき動物ワールド,808-0121,若松区,竹並925,33.915196,130.727976,093-741-2700,http://www.hibikinadagp.org/,響灘緑地グリーンパークは、「水・緑・そして動物たちとのふれあい」をテーマにした北九州市内最大の公園です。広大な頓田貯水池を中心に山林、原野、海浜等変化に富んだ自然を活かしたイベントなどを開催しています。 ,グリーンパークひびき.png,
